"Hierarchy Level","Page Type","Page Sub Type","Content Type","Friendly URL","Page ID","Page Title","Full URL","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Top Level",Homepage?,"Toggle URL"
4,"Content Page","Standard Page",basic_page,/es/esacerca-de-estados-unidos/esdias-festivos-estados-unidos/esnavidad,243,Navidad,https://www.usa.gov/es/esacerca-de-estados-unidos/esdias-festivos-estados-unidos/esnavidad,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales",Navidad,Navidad,Navidad,"USAGov Español",not_homepage,None
5,"Content Page","Standard Page",basic_page,/es/estrabajo-desempleo/esproteccion-trabajador-leyes-laborales/esleyes-salarios/espago-horas-extra,596,"Pago por horas extra",https://www.usa.gov/es/estrabajo-desempleo/esproteccion-trabajador-leyes-laborales/esleyes-salarios/espago-horas-extra,"Página principal","Trabajo y desempleo","Protección del trabajador","Leyes de salarios","Pago por horas extra","Pago por horas extra","USAGov Español",not_homepage,https://www.usa.gov/overtime-pay
4,"Content Page","Standard Page",basic_page,/es/esvotaciones-y-elecciones/esleyes-votaciones/esno-es-obligatorio-votar,677,"¿Es obligatorio votar en Estados Unidos?",https://www.usa.gov/es/esvotaciones-y-elecciones/esleyes-votaciones/esno-es-obligatorio-votar,"Página principal","Votaciones y elecciones","Leyes de votaciones y elecciones en EE. UU.","¿Es obligatorio votar en Estados Unidos?","¿Es obligatorio votar en Estados Unidos?","¿Es obligatorio votar en Estados Unidos?","USAGov Español",not_homepage,https://www.usa.gov/is-voting-required
5,"Content Page","Standard Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esnaturalizacion-ciudadania-estados-unidos/esprobar-ciudadania-estados-unidos/esobtener-reemplazar-certificado-ciudadania-naturalizacion,696,"Obtener o reemplazar un certificado de ciudadanía o un certificado de naturalización",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esnaturalizacion-ciudadania-estados-unidos/esprobar-ciudadania-estados-unidos/esobtener-reemplazar-certificado-ciudadania-naturalizacion,"Página principal","Inmigración y ciudadanía","Naturalización y ciudadanía","Probar ciudadanía estadounidense","Obtener o reemplazar el certificado de ciudadanía","Obtener o reemplazar el certificado de ciudadanía","USAGov Español",not_homepage,https://www.usa.gov/certificate-citizenship-naturalization
4,"Content Page","Standard Page",basic_page,/es/esvivienda/esdesalojo-de-vivienda-y-ejecucion-hipotecaria/esevitar-desalojo-de-vivienda,1949,"Cómo evitar el desalojo de vivienda",https://www.usa.gov/es/esvivienda/esdesalojo-de-vivienda-y-ejecucion-hipotecaria/esevitar-desalojo-de-vivienda,"Página principal",Vivienda,"Desalojo y ejecución hipotecaria","Cómo evitar el desalojo","Cómo evitar el desalojo","Cómo evitar el desalojo","USAGov Español",not_homepage,https://www.usa.gov/avoid-eviction
3,"Navigation Page","Navigation Page",basic_page,/es/esvivienda/esdesalojo-de-vivienda-y-ejecucion-hipotecaria,1950,"Desalojo y ejecución hipotecaria",https://www.usa.gov/es/esvivienda/esdesalojo-de-vivienda-y-ejecucion-hipotecaria,"Página principal",Vivienda,"Desalojo y ejecución hipotecaria","Desalojo y ejecución hipotecaria","Desalojo y ejecución hipotecaria","Desalojo y ejecución hipotecaria","USAGov Español",not_homepage,https://www.usa.gov/eviction-and-foreclosure
3,"Navigation Page","Navigation Page",basic_page,/es/esvivienda/esreparacion-y-eficiencia-energetica-vivienda,1952,"Asistencia para reparaciones y eficiencia energética del hogar",https://www.usa.gov/es/esvivienda/esreparacion-y-eficiencia-energetica-vivienda,"Página principal",Vivienda,"Reparación de viviendas y eficiencia energética","Reparación de viviendas y eficiencia energética","Reparación de viviendas y eficiencia energética","Reparación de viviendas y eficiencia energética","USAGov Español",not_homepage,https://www.usa.gov/repairing-home
3,"Navigation Page","Navigation Page",basic_page,/es/esleyes-y-asuntos-legales/estramites-documentos-personales,474,"Asuntos legales familiares",https://www.usa.gov/es/esleyes-y-asuntos-legales/estramites-documentos-personales,"Página principal","Leyes y asuntos legales","Asuntos legales familiares","Asuntos legales familiares","Asuntos legales familiares","Asuntos legales familiares","USAGov Español",not_homepage,https://www.usa.gov/family-legal-issues
4,"Content Page","Standard Page",basic_page,/es/esdinero-credito/esprestamos-y-subvenciones/esprestamos-del-gobierno,479,"Cómo obtener un préstamo del Gobierno",https://www.usa.gov/es/esdinero-credito/esprestamos-y-subvenciones/esprestamos-del-gobierno,"Página principal","Dinero y crédito","Préstamos y subvenciones","Préstamos del Gobierno","Préstamos del Gobierno","Préstamos del Gobierno","USAGov Español",not_homepage,https://www.usa.gov/government-loan
3,"Navigation Page","Navigation Page",basic_page,/es/esdinero-credito/esprestamos-y-subvenciones,476,"Préstamos y subvenciones",https://www.usa.gov/es/esdinero-credito/esprestamos-y-subvenciones,"Página principal","Dinero y crédito","Préstamos y subvenciones","Préstamos y subvenciones","Préstamos y subvenciones","Préstamos y subvenciones","USAGov Español",not_homepage,https://www.usa.gov/government-grants-and-loans
4,"Content Page","Standard Page",basic_page,/es/esdesastres-emergencias/esayuda-financiera-desastre/esprestamos-por-desastre-pequenas-empresas,542,"Cómo solicitar un préstamo por desastre para pequeñas empresas",https://www.usa.gov/es/esdesastres-emergencias/esayuda-financiera-desastre/esprestamos-por-desastre-pequenas-empresas,"Página principal","Desastres y emergencias","Asistencia financiera por desastre","Préstamo por desastre para pequeñas empresas ","Préstamo por desastre para pequeñas empresas ","Préstamo por desastre para pequeñas empresas ","USAGov Español",not_homepage,https://www.usa.gov/disaster-small-business
4,"Navigation Page","Navigation Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esnaturalizacion-ciudadania-estados-unidos/esprobar-ciudadania-estados-unidos,695,"Cómo probar su ciudadanía estadounidense",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esnaturalizacion-ciudadania-estados-unidos/esprobar-ciudadania-estados-unidos,"Página principal","Inmigración y ciudadanía","Naturalización y ciudadanía","Probar ciudadanía estadounidense","Probar ciudadanía estadounidense","Probar ciudadanía estadounidense","USAGov Español",not_homepage,https://www.usa.gov/prove-us-citizenship
4,"Content Page","Standard Page",basic_page,/es/esvotaciones-y-elecciones/eselecciones-presidenciales-estados-unidos/esproceso-eleccion-presidencial,683,"Resumen del proceso de las elecciones presidenciales en EE. UU.",https://www.usa.gov/es/esvotaciones-y-elecciones/eselecciones-presidenciales-estados-unidos/esproceso-eleccion-presidencial,"Página principal","Votaciones y elecciones","Proceso de las elecciones presidenciales de EE. UU.","Resumen del proceso de las elecciones presidenciales","Resumen del proceso de las elecciones presidenciales","Resumen del proceso de las elecciones presidenciales","USAGov Español",not_homepage,https://www.usa.gov/presidential-election-process
4,"Content Page","Standard Page",basic_page,/es/esacerca-de-estados-unidos/esinformacion-general-sobre-estados-unidos/esproceso-presupuesto-gobierno-estados-unidos,570,"Presupuesto del Gobierno federal de EE. UU.",https://www.usa.gov/es/esacerca-de-estados-unidos/esinformacion-general-sobre-estados-unidos/esproceso-presupuesto-gobierno-estados-unidos,"Página principal","Acerca de EE. UU. y su Gobierno","Información general sobre EE. UU.","Presupuesto del Gobierno federal de EE. UU.","Presupuesto del Gobierno federal de EE. UU.","Presupuesto del Gobierno federal de EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/federal-budget-process
3,"Content Page","Standard Page",basic_page,/es/esbeneficios-gobierno/esreportar-pagos-equivocados-gobierno,511,"Sepa dónde reportar los pagos equivocados de beneficios del Gobierno",https://www.usa.gov/es/esbeneficios-gobierno/esreportar-pagos-equivocados-gobierno,"Página principal","Ayuda económica y beneficios del Gobierno","Reportar los pagos equivocados de beneficios del Gobierno","Reportar los pagos equivocados de beneficios del Gobierno","Reportar los pagos equivocados de beneficios del Gobierno","Reportar los pagos equivocados de beneficios del Gobierno","USAGov Español",not_homepage,https://www.usa.gov/report-incorrect-benefit-payments
4,"Content Page","Standard Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esnaturalizacion-ciudadania-estados-unidos/esrenunciar-perder-nacionalidad-estadounidense,700,"Renunciar o perder la nacionalidad estadounidense",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esnaturalizacion-ciudadania-estados-unidos/esrenunciar-perder-nacionalidad-estadounidense,"Página principal","Inmigración y ciudadanía","Naturalización y ciudadanía","Renunciar o perder la nacionalidad de EE. UU.","Renunciar o perder la nacionalidad de EE. UU.","Renunciar o perder la nacionalidad de EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/renounce-lose-citizenship
4,"Content Page","Standard Page",basic_page,/es/estrabajo-desempleo/esproteccion-trabajador-leyes-laborales/esreportar-riesgos-salud-seguridad-en-trabajo,586,"Dónde reportar riesgos de salud y seguridad en el trabajo",https://www.usa.gov/es/estrabajo-desempleo/esproteccion-trabajador-leyes-laborales/esreportar-riesgos-salud-seguridad-en-trabajo,"Página principal","Trabajo y desempleo","Protección del trabajador","Reportar riesgos de salud y seguridad en el trabajo","Reportar riesgos de salud y seguridad en el trabajo","Reportar riesgos de salud y seguridad en el trabajo","USAGov Español",not_homepage,https://www.usa.gov/report-safety-violations
4,"Content Page","Standard Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esdeportacion-estados-unidos/esreportar-violacion-leyes-inmigracion-estados-unidos,708,"Cómo reportar una violación a las leyes de inmigración de EE. UU.",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esdeportacion-estados-unidos/esreportar-violacion-leyes-inmigracion-estados-unidos,"Página principal","Inmigración y ciudadanía",Deportación,"Reportar una violación a las leyes de inmigración","Reportar una violación a las leyes de inmigración","Reportar una violación a las leyes de inmigración","USAGov Español",not_homepage,https://www.usa.gov/report-immigration-violation
4,"Content Page","Standard Page",basic_page,/es/esvotaciones-y-elecciones/eselecciones-presidenciales-estados-unidos/esrequisitos-ser-candidato-presidencia-eeuu,684,"Requisitos para ser candidato a la presidencia de EE. UU.",https://www.usa.gov/es/esvotaciones-y-elecciones/eselecciones-presidenciales-estados-unidos/esrequisitos-ser-candidato-presidencia-eeuu,"Página principal","Votaciones y elecciones","Proceso de las elecciones presidenciales de EE. UU.","Requisitos para ser candidato a la presidencia de EE. UU.","Requisitos para ser candidato a la presidencia de EE. UU.","Requisitos para ser candidato a la presidencia de EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/requirements-for-presidential-candidates
3,"Content Page","Standard Page",basic_page,/es/esvotaciones-y-elecciones/esresultados-elecciones-estados-unidos,710,"Resultados de elecciones anteriores",https://www.usa.gov/es/esvotaciones-y-elecciones/esresultados-elecciones-estados-unidos,"Página principal","Votaciones y elecciones","Resultados de elecciones anteriores","Resultados de elecciones anteriores","Resultados de elecciones anteriores","Resultados de elecciones anteriores","USAGov Español",not_homepage,https://www.usa.gov/election-results
5,"Content Page","Standard Page",basic_page,/es/estrabajo-desempleo/esproteccion-trabajador-leyes-laborales/esleyes-salarios/essalario-minimo,595,"Salario mínimo",https://www.usa.gov/es/estrabajo-desempleo/esproteccion-trabajador-leyes-laborales/esleyes-salarios/essalario-minimo,"Página principal","Trabajo y desempleo","Protección del trabajador","Leyes de salarios","Salario mínimo","Salario mínimo","USAGov Español",not_homepage,https://www.usa.gov/minimum-wage
3,"Navigation Page","Navigation Page",basic_page,/es/esfuerzas-armadas-veteranos/esservicio-selectivo-servicio-militar,806,"Servicio militar y Servicio Selectivo",https://www.usa.gov/es/esfuerzas-armadas-veteranos/esservicio-selectivo-servicio-militar,"Página principal","Fuerzas Armadas de EE. UU. y veteranos","Servicio militar y Servicio Selectivo","Servicio militar y Servicio Selectivo","Servicio militar y Servicio Selectivo","Servicio militar y Servicio Selectivo","USAGov Español",not_homepage,https://www.usa.gov/selective-service
4,"Content Page","Standard Page",basic_page,/es/esdinero-credito/esprestamos-y-subvenciones/essubvenciones-del-gobierno,478,"Subvenciones del Gobierno",https://www.usa.gov/es/esdinero-credito/esprestamos-y-subvenciones/essubvenciones-del-gobierno,"Página principal","Dinero y crédito","Préstamos y subvenciones","Subvenciones del Gobierno","Subvenciones del Gobierno","Subvenciones del Gobierno","USAGov Español",not_homepage,https://www.usa.gov/government-grants
4,"Content Page","Standard Page",basic_page,/es/esacerca-de-estados-unidos/esinformacion-general-sobre-estados-unidos/essucesion-presidencial,523,"Orden de sucesión presidencial",https://www.usa.gov/es/esacerca-de-estados-unidos/esinformacion-general-sobre-estados-unidos/essucesion-presidencial,"Página principal","Acerca de EE. UU. y su Gobierno","Información general sobre EE. UU.","Orden de la sucesión presidencial","Orden de la sucesión presidencial","Orden de la sucesión presidencial","USAGov Español",not_homepage,https://www.usa.gov/presidential-succession
4,"Content Page","Standard Page",basic_page,/es/esvotaciones-y-elecciones/escomo-votar-en-estados-unidos/esvotar-partido-de-registro-electoral,653,"¿Debe votar por el partido en el que se registró?",https://www.usa.gov/es/esvotaciones-y-elecciones/escomo-votar-en-estados-unidos/esvotar-partido-de-registro-electoral,"Página principal","Votaciones y elecciones","Cómo, dónde y cuándo votar","¿Debe votar por el partido con el que se registró?","¿Debe votar por el partido con el que se registró?","¿Debe votar por el partido con el que se registró?","USAGov Español",not_homepage,https://www.usa.gov/voting-political-party
5,"Content Page","Standard Page",basic_page,/es/esvotaciones-y-elecciones/escomo-votar-en-estados-unidos/esvotar-dia-elecciones/esvotar-por-internet,643,"¿Se puede votar por internet?",https://www.usa.gov/es/esvotaciones-y-elecciones/escomo-votar-en-estados-unidos/esvotar-dia-elecciones/esvotar-por-internet,"Página principal","Votaciones y elecciones","Cómo, dónde y cuándo votar","Cómo votar el día de las elecciones","¿Se puede votar por internet?","¿Se puede votar por internet?","USAGov Español",not_homepage,https://www.usa.gov/can-i-vote-online
4,"Content Page","Standard Page",basic_page,/es/esvotaciones-y-elecciones/escomo-votar-en-estados-unidos/esvoto-ausente,647,"Voto ausente o voto por correo",https://www.usa.gov/es/esvotaciones-y-elecciones/escomo-votar-en-estados-unidos/esvoto-ausente,"Página principal","Votaciones y elecciones","Cómo, dónde y cuándo votar","Voto ausente o voto por correo","Voto ausente o voto por correo","Voto ausente o voto por correo","USAGov Español",not_homepage,https://www.usa.gov/absentee-voting
3,"Navigation Page","Navigation Page",basic_page,/es/esleyes-y-asuntos-legales/escertificado-del-registro,466,"Solicitud de copias de certificados del registro civil y documentos de identidad",https://www.usa.gov/es/esleyes-y-asuntos-legales/escertificado-del-registro,"Página principal","Leyes y asuntos legales","Certificados del registro civil y documentos de identidad","Certificados del registro civil y documentos de identidad","Certificados del registro civil y documentos de identidad","Certificados del registro civil y documentos de identidad","USAGov Español",not_homepage,https://www.usa.gov/request-documents
3,"Navigation Page","Navigation Page",basic_page,/es/esleyes-y-asuntos-legales/esprisiones-prisioneros,718,"Prisiones y prisioneros",https://www.usa.gov/es/esleyes-y-asuntos-legales/esprisiones-prisioneros,"Página principal","Leyes y asuntos legales","Prisiones y prisioneros","Prisiones y prisioneros","Prisiones y prisioneros","Prisiones y prisioneros","USAGov Español",not_homepage,https://www.usa.gov/prisons-prisoners
4,"Content Page","Standard Page",basic_page,/es/esleyes-y-asuntos-legales/esprisiones-prisioneros/esquejas-sobre-prisiones,721,"Cómo presentar una queja contra una prisión estatal o federal",https://www.usa.gov/es/esleyes-y-asuntos-legales/esprisiones-prisioneros/esquejas-sobre-prisiones,"Página principal","Leyes y asuntos legales","Prisiones y prisioneros","Quejas contra prisiones estatales o federales","Quejas contra prisiones estatales o federales","Quejas contra prisiones estatales o federales","USAGov Español",not_homepage,https://www.usa.gov/complaint-about-prison
4,"Content Page","Standard Page",basic_page,/es/esleyes-y-asuntos-legales/esprisiones-prisioneros/eslocalizar-prisioneros-registros-prisiones,719,"Cómo buscar presos y expedientes penitenciarios",https://www.usa.gov/es/esleyes-y-asuntos-legales/esprisiones-prisioneros/eslocalizar-prisioneros-registros-prisiones,"Página principal","Leyes y asuntos legales","Prisiones y prisioneros","Búsqueda de presos y expedientes penitenciarios","Búsqueda de presos y expedientes penitenciarios","Búsqueda de presos y expedientes penitenciarios","USAGov Español",not_homepage,https://www.usa.gov/prisoner-records
4,"Content Page","Standard Page",basic_page,/es/esleyes-y-asuntos-legales/escertificado-del-registro/escertificado-defuncion,473,"Cómo sacar copia certificada del certificado de defunción",https://www.usa.gov/es/esleyes-y-asuntos-legales/escertificado-del-registro/escertificado-defuncion,"Página principal","Leyes y asuntos legales","Certificados del registro civil y documentos de identidad","Certificado de defunción","Certificado de defunción","Certificado de defunción","USAGov Español",not_homepage,https://www.usa.gov/death-certificate
3,"Navigation Page","Navigation Page",basic_page,/es/eseducacion/esasistencia-economica-educacion,612,"Asistencia económica y préstamos educativos",https://www.usa.gov/es/eseducacion/esasistencia-economica-educacion,"Página principal",Educación,"Asistencia económica y préstamos educativos","Asistencia económica y préstamos educativos","Asistencia económica y préstamos educativos","Asistencia económica y préstamos educativos","USAGov Español",not_homepage,https://www.usa.gov/financial-aid
3,"Content Page","Standard Page",basic_page,/es/esleyes-y-asuntos-legales/esasistencia-legal-gratis,469,"Cómo encontrar a un abogado y asistencia legal gratis o a bajo costo",https://www.usa.gov/es/esleyes-y-asuntos-legales/esasistencia-legal-gratis,"Página principal","Leyes y asuntos legales","Abogados y asistencia legal gratis o a bajo costo","Abogados y asistencia legal gratis o a bajo costo","Abogados y asistencia legal gratis o a bajo costo","Abogados y asistencia legal gratis o a bajo costo","USAGov Español",not_homepage,https://www.usa.gov/legal-aid
4,"Content Page","Standard Page",basic_page,/es/eseducacion/esasistencia-economica-educacion/esfafsa-ayuda-federal-estudiantes,605,"Solicitud Gratuita de Ayuda Federal para Estudiantes (FAFSA)",https://www.usa.gov/es/eseducacion/esasistencia-economica-educacion/esfafsa-ayuda-federal-estudiantes,"Página principal",Educación,"Asistencia económica y préstamos educativos","Ayuda Federal para Estudiantes (FAFSA)","Ayuda Federal para Estudiantes (FAFSA)","Ayuda Federal para Estudiantes (FAFSA)","USAGov Español",not_homepage,https://www.usa.gov/fafsa
4,"Content Page","Standard Page",basic_page,/es/esleyes-y-asuntos-legales/escertificado-del-registro/escertificado-nacimiento,470,"Cómo sacar una copia certificada del certificado de nacimiento",https://www.usa.gov/es/esleyes-y-asuntos-legales/escertificado-del-registro/escertificado-nacimiento,"Página principal","Leyes y asuntos legales","Certificados del registro civil y documentos de identidad","Certificado de nacimiento","Certificado de nacimiento","Certificado de nacimiento","USAGov Español",not_homepage,https://www.usa.gov/birth-certificate
4,"Content Page","Standard Page",basic_page,/es/eseducacion/esasistencia-economica-educacion/esayuda-economica-estudiantes,604,"Tipos de ayuda económica para estudiantes",https://www.usa.gov/es/eseducacion/esasistencia-economica-educacion/esayuda-economica-estudiantes,"Página principal",Educación,"Asistencia económica y préstamos educativos","Tipos de ayuda económica para estudiantes","Tipos de ayuda económica para estudiantes","Tipos de ayuda económica para estudiantes","USAGov Español",not_homepage,https://www.usa.gov/student-aid
4,"Content Page","Standard Page",basic_page,/es/eseducacion/esasistencia-economica-educacion/escalcular-costo-estudios-universidad,603,"Calcule el costo de sus estudios universitarios",https://www.usa.gov/es/eseducacion/esasistencia-economica-educacion/escalcular-costo-estudios-universidad,"Página principal",Educación,"Asistencia económica y préstamos educativos","Calcule el costo de sus estudios universitarios","Calcule el costo de sus estudios universitarios","Calcule el costo de sus estudios universitarios","USAGov Español",not_homepage,https://www.usa.gov/estimate-college-cost
4,"Content Page","Standard Page",basic_page,/es/esleyes-y-asuntos-legales/esprisiones-prisioneros/esvisitar-mandar-dinero-prisionero,720,"Cómo visitar o mandarle dinero a un prisionero ",https://www.usa.gov/es/esleyes-y-asuntos-legales/esprisiones-prisioneros/esvisitar-mandar-dinero-prisionero,"Página principal","Leyes y asuntos legales","Prisiones y prisioneros","Visitar o mandarle dinero a un prisionero ","Visitar o mandarle dinero a un prisionero ","Visitar o mandarle dinero a un prisionero ","USAGov Español",not_homepage,https://www.usa.gov/visit-prisoner-send-money
4,"Content Page","Standard Page",basic_page,/es/esleyes-y-asuntos-legales/escertificado-del-registro/escertificado-matrimonio,468,"Cómo sacar una copia de un certificado o de una licencia de matrimonio",https://www.usa.gov/es/esleyes-y-asuntos-legales/escertificado-del-registro/escertificado-matrimonio,"Página principal","Leyes y asuntos legales","Certificados del registro civil y documentos de identidad","Certificado de matrimonio","Certificado de matrimonio","Certificado de matrimonio","USAGov Español",not_homepage,https://www.usa.gov/marriage-certificate
4,"Content Page","Standard Page",basic_page,/es/eseducacion/esestudiar-en-estados-unidos/esayuda-aprender-ingles-en-estados-unidos,608,"Encuentre ayuda para aprender inglés en Estados Unidos",https://www.usa.gov/es/eseducacion/esestudiar-en-estados-unidos/esayuda-aprender-ingles-en-estados-unidos,"Página principal",Educación,"Estudiar en Estados Unidos","Ayuda para aprender inglés en EE. UU.","Ayuda para aprender inglés en EE. UU.","Ayuda para aprender inglés en EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/learn-english
3,"Navigation Page","Navigation Page",basic_page,/es/eseducacion/esestudiar-en-estados-unidos,613,"Estudiar en Estados Unidos",https://www.usa.gov/es/eseducacion/esestudiar-en-estados-unidos,"Página principal",Educación,"Estudiar en Estados Unidos","Estudiar en Estados Unidos","Estudiar en Estados Unidos","Estudiar en Estados Unidos","USAGov Español",not_homepage,https://www.usa.gov/study-in-us
4,"Content Page","Standard Page",basic_page,/es/eseducacion/esestudiar-en-estados-unidos/esestudiar-universidad-estados-unidos-extranjeros,609,"Estudiar en EE. UU. como estudiante internacional",https://www.usa.gov/es/eseducacion/esestudiar-en-estados-unidos/esestudiar-universidad-estados-unidos-extranjeros,"Página principal",Educación,"Estudiar en Estados Unidos","Estudiar en EE. UU. como extranjero","Estudiar en EE. UU. como extranjero","Estudiar en EE. UU. como extranjero","USAGov Español",not_homepage,https://www.usa.gov/international-student
4,"Content Page","Standard Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esvisas-no-inmigrante-turista/esvisas-estudiante,662,"Visas para estudiar en Estados Unidos",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esvisas-no-inmigrante-turista/esvisas-estudiante,"Página principal","Inmigración y ciudadanía","Visas de turista y de no inmigrante","Visas para estudiar en EE. UU.","Visas para estudiar en EE. UU.","Visas para estudiar en EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/student-visa
3,"Content Page","Standard Page",basic_page,/es/eseducacion/esbibliotecas-publicas,610,"Dónde encontrar bibliotecas públicas",https://www.usa.gov/es/eseducacion/esbibliotecas-publicas,"Página principal",Educación,"Encontrar bibliotecas públicas","Encontrar bibliotecas públicas","Encontrar bibliotecas públicas","Encontrar bibliotecas públicas","USAGov Español",not_homepage,https://www.usa.gov/libraries
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/es/esimpuestos,774,Impuestos,https://www.usa.gov/es/esimpuestos,"Página principal",Impuestos,Impuestos,Impuestos,Impuestos,Impuestos,"USAGov Español",not_homepage,https://www.usa.gov/taxes
3,"Navigation Page","Navigation Page",basic_page,/es/esimpuestos/esdeclaracion-impuestos-federales,779,"Declaración de impuestos federales",https://www.usa.gov/es/esimpuestos/esdeclaracion-impuestos-federales,"Página principal",Impuestos,"Declaración de impuestos federales","Declaración de impuestos federales","Declaración de impuestos federales","Declaración de impuestos federales","USAGov Español",not_homepage,https://www.usa.gov/file-federal-taxes
3,"Navigation Page","Navigation Page",basic_page,/es/esimpuestos/esayuda-impuestos,788,"Consiga ayuda para presentar impuestos",https://www.usa.gov/es/esimpuestos/esayuda-impuestos,"Página principal",Impuestos,"Ayuda para presentar impuestos","Ayuda para presentar impuestos","Ayuda para presentar impuestos","Ayuda para presentar impuestos","USAGov Español",not_homepage,https://www.usa.gov/help-with-taxes
3,"Navigation Page","Navigation Page",basic_page,/es/esimpuestos/esreembolsos-impuestos,775,"Reembolsos de impuestos",https://www.usa.gov/es/esimpuestos/esreembolsos-impuestos,"Página principal",Impuestos,"Reembolsos de impuestos","Reembolsos de impuestos","Reembolsos de impuestos","Reembolsos de impuestos","USAGov Español",not_homepage,https://www.usa.gov/tax-refunds
3,"Navigation Page","Navigation Page",basic_page,/es/esimpuestos/esformularios-impuestos,785,"Formularios para declarar impuestos",https://www.usa.gov/es/esimpuestos/esformularios-impuestos,"Página principal",Impuestos,"Formularios para declarar impuestos","Formularios para declarar impuestos","Formularios para declarar impuestos","Formularios para declarar impuestos","USAGov Español",not_homepage,https://www.usa.gov/get-tax-forms
4,"Content Page","Standard Page",basic_page,/es/esimpuestos/esreembolsos-impuestos/escompensacion-reembolsos-impuestos,778,"Qué hacer si su reembolso de impuestos es menor de lo esperado",https://www.usa.gov/es/esimpuestos/esreembolsos-impuestos/escompensacion-reembolsos-impuestos,"Página principal",Impuestos,"Reembolsos de impuestos","Reembolso de impuestos menor de lo esperado","Reembolso de impuestos menor de lo esperado","Reembolso de impuestos menor de lo esperado","USAGov Español",not_homepage,https://www.usa.gov/tax-refund-offset
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/es/esvivienda,557,Vivienda,https://www.usa.gov/es/esvivienda,"Página principal",Vivienda,Vivienda,Vivienda,Vivienda,Vivienda,"USAGov Español",not_homepage,https://www.usa.gov/housing-help
4,"Content Page","Standard Page",basic_page,/es/esimpuestos/escreditos-deducciones/escredito-tributario-por-hijos,819,"Crédito tributario por hijos",https://www.usa.gov/es/esimpuestos/escreditos-deducciones/escredito-tributario-por-hijos,"Página principal",Impuestos,"Créditos y deducciones","Crédito tributario por hijos","Crédito tributario por hijos","Crédito tributario por hijos","USAGov Español",not_homepage,https://www.usa.gov/child-tax-credit
4,"Content Page","Standard Page",basic_page,/es/esviajes/esestadounidenses-viajes-extranjero/esdocumentos-viaje-estadounidenses-territorios-eeuu,739,"¿Los estadounidenses necesitan pasaporte para viajar hacia o desde los territorios de EE. UU.?",https://www.usa.gov/es/esviajes/esestadounidenses-viajes-extranjero/esdocumentos-viaje-estadounidenses-territorios-eeuu,"Página principal",Viajes,"Estadounidenses que viajan al extranjero","Estadounidenses que visitan los territorios de EE. UU.","Estadounidenses que visitan los territorios de EE. UU.","Estadounidenses que visitan los territorios de EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/visit-territories
3,"Navigation Page","Navigation Page",basic_page,/es/esimpuestos/escreditos-deducciones,796,"Créditos y deducciones",https://www.usa.gov/es/esimpuestos/escreditos-deducciones,"Página principal",Impuestos,"Créditos y deducciones","Créditos y deducciones","Créditos y deducciones","Créditos y deducciones","USAGov Español",not_homepage,https://www.usa.gov/child-disaster-tax
3,"Navigation Page","Navigation Page",basic_page,/es/esleyes-y-asuntos-legales/escrimenes,1954,"Reporte de crímenes y ayuda para víctimas",https://www.usa.gov/es/esleyes-y-asuntos-legales/escrimenes,"Página principal","Leyes y asuntos legales","Reporte de crímenes y ayuda para víctimas","Reporte de crímenes y ayuda para víctimas","Reporte de crímenes y ayuda para víctimas","Reporte de crímenes y ayuda para víctimas","USAGov Español",not_homepage,https://www.usa.gov/crime
4,"Content Page","Standard Page",basic_page,/es/esleyes-y-asuntos-legales/escrimenes/esayuda-victimas-crimen,722,"Encuentre ayuda si sufrió un delito o crimen",https://www.usa.gov/es/esleyes-y-asuntos-legales/escrimenes/esayuda-victimas-crimen,"Página principal","Leyes y asuntos legales","Reporte de crímenes y ayuda para víctimas","Encuentre ayuda si sufrió un delito o crimen","Encuentre ayuda si sufrió un delito o crimen","Encuentre ayuda si sufrió un delito o crimen","USAGov Español",not_homepage,https://www.usa.gov/crime-victim-support
